ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Address,Delivery time,Food Type
427393,Prahlad Nagar,Ahmedabad,Moms Makhni Punjabi Food,300,2.9,80,Prahlad Nagar,51,Indian
418299,Alipore,Kolkata,Roz Aana Punjab,300,2.9,80,Alipore,88,Indian
415742,Rohini,Delhi,Dhaam Kitchen,300,2.9,80,Rohini,47,Indian
407008,Nallakunta & Vidyanagar,Hyderabad,Polpat,300,2.9,80,Nallakunta & Vidyanagar,50,Indian
400357,Annanagar,Chennai,Kolambu Box,300,2.9,80,Annanagar,62,Indian
385768,Indiranagar,Bangalore,Laali Da Dhaba,300,2.9,80,Indiranagar,66,Indian
384883,Nallakunta & Vidyanagar,Hyderabad,Radhe Family Dhaba,300,2.9,80,Nallakunta & Vidyanagar,41,Indian
299060,Kothrud,Pune,Mumma'S Food,300,2.9,80,Indira Shankar Nagari,70,Indian
85352,Adajan,Surat,Dil Se Re,300,2.9,80,Imperial Square,56,Indian
466928,Kurla,Mumbai,Shane Ahmedi Hotel,300,2.9,80,Kurla,39,Indian
466304,Kurla,Mumbai,Al Zaika Dhaba,300,2.9,80,Kurla,30,Indian
458302,Marol Sakinaka,Mumbai,Mallika Bar And Family Restaurant,300,2.9,80,Marol Sakinaka,42,Indian
456649,Koramangala,Bangalore,English Thyme Restaurant,300,2.9,80,Koramangala,59,Indian
455376,Banashankari,Bangalore,Thali Wala,300,2.9,80,Banashankari,62,Indian
454488,Shivaji Nagar,Pune,New Neeta Veg And Nonveg,300,2.9,80,Shivaji Nagar,37,Indian
450219,Purasawalkam,Chennai,New Hotel Madina Biriyani,300,2.9,80,Purasawalkam,49,Indian
447106,Dumdum,Kolkata,Wakhani,300,2.9,80,Dumdum,75,Indian
441726,Adajan,Surat,Bhandari Chakhna,300,2.9,80,Adajan,57,Indian
438583,Annanagar,Chennai,The Burp Factory,300,2.9,80,Annanagar,76,Indian
437555,Annanagar,Chennai,Illis Group Of Restaurants,300,2.9,80,Annanagar,74,Indian
437213,Powai,Mumbai,Double Decker,300,2.9,80,Powai,52,Indian
437151,South Kolkata,Kolkata,The Lunch Box Company,300,2.9,80,South Kolkata,72,Indian
434237,Kurla,Mumbai,Lark Pure Vegetarian Restaurant,300,2.9,80,Kurla,40,Indian
433181,Kurla,Mumbai,Nityanand Family Restaurant Manglorian Style,300,2.9,80,Kurla,43,Indian
429251,Royapettah,Chennai,Madras Military Hotel,300,2.9,80,Royapettah,56,Indian
428356,Salt Lake,Kolkata,25 Main Street Cafe,300,2.9,80,Salt Lake,76,Indian
428125,Dumdum,Kolkata,Suswadu,300,2.9,80,Dumdum,69,Indian
427945,Egmore,Chennai,Ra3,300,2.9,80,Egmore,49,Indian
424255,Marol Sakinaka,Mumbai,Saki Darbar,300,2.9,80,Marol Sakinaka,55,Indian
422757,Kestopur,Kolkata,Heavens Kitchen,300,2.9,80,Salt Lake,109,Indian
420370,Begumpet,Hyderabad,Tanisi Multicuisine Restaurant,300,2.9,80,Begumpet,58,Indian
418950,Camp,Pune,Malabar Restaurant,300,2.9,80,Camp,36,Indian
418585,Rohini,Delhi,Chicken Khurana,300,2.9,80,Rohini,48,Indian
415445,Kurla,Mumbai,Khurram Bhai,300,2.9,80,Kurla,46,Indian
414939,Adajan,Surat,Eggs Cafe,300,2.9,80,Adajan,82,Indian
413609,Alipore,Kolkata,Chinese Empire,300,2.9,80,Alipore,96,Indian
411882,Rohini,Delhi,Mdh Masala Legendry Since 1960,300,2.9,80,Rohini,60,Indian
411874,Rohini,Delhi,Express Sanjha Chulha Pure Veg,300,2.9,80,Rohini,63,Indian
411689,Lake Town,Kolkata,Parasnath Fast Food,300,2.9,80,Lake Town,80,Indian
411194,Kurla,Mumbai,Cafe Samrat,300,2.9,80,Kurla,41,Indian
409015,Gariahat,Kolkata,The Banglar Rannaghar,300,2.9,80,South Kolkata,76,Indian
407686,Maninagar,Ahmedabad,Haanji Amritsari Kulchas,300,2.9,80,Maninagar,44,Indian
404853,Central Kolkata,Kolkata,Al-Baik,300,2.9,80,Central Kolkata,52,Indian
403655,Paschim Vihar,Delhi,Mehendiram Restaurant & Mocktail Bar,300,2.9,80,Paschim Vihar,52,Indian
403209,Kurla,Mumbai,Raje Misal,300,2.9,80,Kurla,44,Indian
402000,Marol Sakinaka,Mumbai,Udupi Veg Fast Food,300,2.9,80,Marol Sakinaka,57,Indian
401160,Shantinagar,Bangalore,Tadka Cafe,300,2.9,80,Shantinagar,57,Indian
399764,Vishrantwadi,Pune,Magic Bites,300,2.9,80,Vishrantwadi,65,Indian
399189,Navrangpura,Ahmedabad,Kailash Omlet Center,300,2.9,80,Navrangpura,44,Indian
398386,Kothrud,Pune,Parth Veg Nonveg,300,2.9,80,Kothrud,65,Indian
396976,Nallakunta & Vidyanagar,Hyderabad,Mamaz Almandi,300,2.9,80,Nallakunta & Vidyanagar,48,Indian
396069,Central Kolkata,Kolkata,New Nijam Biryani & Fast Food,300,2.9,80,Central Kolkata,60,Indian
394267,Kothapet & Dilsukhnagar,Hyderabad,Hasrat Catering India,300,2.9,80,Kothapet & Dilsukhnagar,46,Indian
393388,Lake Town,Kolkata,The Cloud Express,300,2.9,80,Kestopur,84,Indian
392431,Adajan,Surat,Breadoze Fast Food,300,2.9,80,Adajan,52,Indian
385375,Naranpura,Ahmedabad,Rasthal Restaurant,300,2.9,80,Naranpura,51,Indian
383057,Chandkheda,Ahmedabad,S N Blu- The Food Library,300,2.9,80,Chandkheda,80,Indian
378475,Dumdum,Kolkata,Ananda Mela Confectionery,300,2.9,80,Dumdum,75,Indian
376701,Baguiati,Kolkata,Rajgharana,300,2.9,80,Lake Town,88,Indian
376009,Frazer Town,Bangalore,Renuka Foods,300,2.9,80,Frazer Town,54,Indian
371799,Aminjikarai,Chennai,Big Show Restaurant,300,2.9,80,Arumbakkam,61,Indian
370418,Santacruz East,Mumbai,Shri Laxmi Lunch Home,300,2.9,80,Scruz Bandra East,40,Indian
367946,Ballygunge,Kolkata,The Magical Place,300,2.9,80,Central Kolkata,62,Indian
366304,Shukrawar Peth,Pune,Hotel Aasra Biryani House,300,2.9,80,Swargate,45,Indian
364741,Sion,Mumbai,Raju Ki Rasoi,300,2.9,80,Matunga Wadala,56,Indian
355111,Kurla West,Mumbai,Janta Lunch Home,300,2.9,80,Kurla,37,Indian
353433,Mota Varachha,Surat,Cracked Egg,300,2.9,80,Mota Varachha,65,Indian
352917,Rohini,Delhi,Desi Cafe,300,2.9,80,Rohini,51,Indian
347748,Huda Complex,Hyderabad,Zaika Bites,300,2.9,80,Kothapet & Dilsukhnagar,57,Indian
346056,Bhowanipore,Kolkata,Cha Bar Allenby,300,2.9,80,Central Kolkata,67,Indian
344853,Koramangala,Bangalore,Btc (Bathinda Thali Company),300,2.9,80,Koramangala,58,Indian
340595,Ejipura,Bangalore,Lucky Fast Food,300,2.9,80,Koramangala,59,Indian
340417,Raja Annamalai Puram,Chennai,Madras Kebab Factory,300,2.9,80,T Nagar,78,Indian
339988,Gowliguda,Hyderabad,Shawarma And Chinese Fast Food,300,2.9,80,Himayath Nagar,34,Indian
